ind_group,ind_label,horizon,beta_abs,theta,boot_se,p_value,bh_reject
5,Manufacturing_durable,28,5.6220139542894465e-5,NaN,0.0006143804611968629,0.864,false
5,Manufacturing_durable,29,-0.0009074613587049562,NaN,0.0006568659243464908,0.144,false
5,Manufacturing_durable,30,0.0003479226004384466,NaN,0.0006986672216349818,0.528,false
5,Manufacturing_durable,31,0.0003954961449592862,NaN,0.0007144696882476193,0.612,false
5,Manufacturing_durable,32,0.0003449313150647083,NaN,0.0006561219548408872,0.592,false
5,Manufacturing_durable,33,-3.796407121427015e-5,NaN,0.0006308666764649775,0.932,false
5,Manufacturing_durable,34,-0.0002604783237370642,NaN,0.0006674458745253654,0.704,false
5,Manufacturing_durable,35,4.307826559821587e-5,NaN,0.0006875217899970532,0.924,false
5,Manufacturing_durable,36,3.9993791057323854e-5,NaN,0.0007668503583634597,0.884,false
6,Transportation_utilities,0,0.0001863048758406617,NaN,0.0005294534281724092,0.632,false
6,Transportation_utilities,1,-0.00014180518135661283,NaN,0.00047972495782902275,0.728,false
6,Transportation_utilities,2,0.0006063430193673394,NaN,0.000499186598093817,0.264,false
6,Transportation_utilities,3,-3.1610290107471165e-5,NaN,0.0004819628620206745,0.98,false
6,Transportation_utilities,4,-0.0005330403540093069,NaN,0.00047910072580322193,0.28,false
6,Transportation_utilities,5,-0.0005666481837279052,NaN,0.0004299355612709297,0.204,false
6,Transportation_utilities,6,-0.0001129970680404131,NaN,0.0004706005310505228,0.816,false
6,Transportation_utilities,7,-4.289160815782963e-5,NaN,0.00043633909862162524,0.908,false
6,Transportation_utilities,8,-0.00026935350340655674,NaN,0.00046265378900289046,0.588,false
6,Transportation_utilities,9,-0.0006370091535584799,NaN,0.00048377337318922383,0.148,false
6,Transportation_utilities,10,0.00013063951759291226,NaN,0.00047046771185785475,0.832,false
6,Transportation_utilities,11,-0.0003644163164219597,NaN,0.0004252119361652389,0.352,false
6,Transportation_utilities,12,0.000499194680118449,NaN,0.0004998083020249774,0.32,false
6,Transportation_utilities,13,-0.00023455718037949353,NaN,0.0004721626416420135,0.668,false
6,Transportation_utilities,14,0.00021038959937811507,NaN,0.0005345367198431038,0.752,false
6,Transportation_utilities,15,-0.00012846018912368825,NaN,0.0005173322549714075,0.816,false
6,Transportation_utilities,16,-0.0008420535033252168,NaN,0.0005363880600593518,0.104,false
6,Transportation_utilities,17,0.00026233538891027653,NaN,0.0005226724998705193,0.652,false
6,Transportation_utilities,18,-0.000206171511316559,NaN,0.000504158262713475,0.732,false
6,Transportation_utilities,19,-0.0006406970439747845,NaN,0.0005134660261639619,0.24,false
6,Transportation_utilities,20,6.681684965029365e-5,NaN,0.0005343550753107492,0.936,false
6,Transportation_utilities,21,-0.00045990723848435803,NaN,0.0004887452118585647,0.336,false
6,Transportation_utilities,22,-0.00028128848056288634,NaN,0.0005570329334545797,0.624,false
6,Transportation_utilities,23,-1.4627688167335727e-5,NaN,0.0005142759148591343,1.0,false
6,Transportation_utilities,24,2.013308219772668e-5,NaN,0.0005387804304285421,0.892,false
6,Transportation_utilities,25,-0.0005292036107333901,NaN,0.0004632082408246231,0.236,false
6,Transportation_utilities,26,4.8691575675680145e-5,NaN,0.0005083864075212364,1.0,false
6,Transportation_utilities,27,0.0004644184126680848,NaN,0.0005091392576780184,0.336,false
6,Transportation_utilities,28,-0.0002621088156740158,NaN,0.00045731491398182935,0.588,false
6,Transportation_utilities,29,0.0005204042410443657,NaN,0.0005338203735645832,0.344,false
6,Transportation_utilities,30,-0.0003430330414364323,NaN,0.0004820199626484476,0.456,false
6,Transportation_utilities,31,-5.288101522481587e-7,NaN,0.0005209106657313369,1.0,false
6,Transportation_utilities,32,-9.076931056766267e-6,NaN,0.0004644281832453283,0.968,false
6,Transportation_utilities,33,-0.0006564782040469085,NaN,0.0005618391111016906,0.22,false
6,Transportation_utilities,34,-0.00032201814226562884,NaN,0.0005012678880414419,0.52,false
6,Transportation_utilities,35,-0.00021444538104472915,NaN,0.0004802568454284795,0.676,false
6,Transportation_utilities,36,6.492143569758645e-6,NaN,0.0005734418718782834,0.956,false
7,Wholesale_trade,0,0.000198244146308775,NaN,0.00035638511450211403,0.62,false
7,Wholesale_trade,1,0.00016449904834765625,NaN,0.0003532187186928005,0.644,false
7,Wholesale_trade,2,0.0005632744921563757,NaN,0.0003462903575438712,0.112,false
7,Wholesale_trade,3,-0.00025713720590236905,NaN,0.0003549592541783947,0.408,false
7,Wholesale_trade,4,0.000300867208302513,NaN,0.000340386152884436,0.368,false
7,Wholesale_trade,5,-4.232933696672437e-5,NaN,0.00044905734096698093,0.976,false
7,Wholesale_trade,6,0.00037059208034273127,NaN,0.0003452057157930078,0.256,false
7,Wholesale_trade,7,-0.0001508328498961047,NaN,0.00037028129155050545,0.736,false
7,Wholesale_trade,8,0.00020544461962246593,NaN,0.00034720269560325773,0.536,false
7,Wholesale_trade,9,0.0002786505855745883,NaN,0.0003486009442523918,0.388,false
7,Wholesale_trade,10,-0.000345799862774676,NaN,0.00037789941745052923,0.272,false
7,Wholesale_trade,11,-8.120034396488044e-5,NaN,0.00032957969667781465,0.892,false
7,Wholesale_trade,12,0.00026679105903072665,NaN,0.0003759340650717476,0.464,false
7,Wholesale_trade,13,0.000357588444718628,NaN,0.0003307059784762768,0.216,false
7,Wholesale_trade,14,0.00011897249623594841,NaN,0.0003858218819904295,0.644,false
7,Wholesale_trade,15,0.00022076073568126473,NaN,0.0003371372545938785,0.536,false
7,Wholesale_trade,16,0.0002657508064926566,NaN,0.0003525474578955734,0.46,false
7,Wholesale_trade,17,-0.00019705522494347345,NaN,0.0004344304707153656,0.632,false
7,Wholesale_trade,18,0.0006088242063730199,NaN,0.0003942245879082373,0.136,false
7,Wholesale_trade,19,0.000520247744632761,NaN,0.0004187913564068356,0.16,false
7,Wholesale_trade,20,4.733966638271725e-5,NaN,0.000344549200154683,0.92,false
