occ_group,occ_label,horizon,beta,boot_se,p_value,bh_reject
7,Farming_forestry_construction,17,-0.0004763745293803211,0.0005470208531854031,0.36,false
7,Farming_forestry_construction,18,-0.0004475077042075698,0.00048750882174071475,0.364,false
7,Farming_forestry_construction,19,-0.0002645161439093643,0.00048274569573360704,0.576,false
7,Farming_forestry_construction,20,-0.0003878218175423736,0.0004702747236781922,0.412,false
7,Farming_forestry_construction,21,-0.00033805961871248287,0.00033896023015526563,0.272,false
7,Farming_forestry_construction,22,-0.0002074085279474682,0.0003727574382190893,0.592,false
7,Farming_forestry_construction,23,-0.00010154428174913683,0.00034617708769404666,0.756,false
7,Farming_forestry_construction,24,-0.00012334592052159406,0.00040662956828650546,0.768,false
7,Farming_forestry_construction,25,-0.0002737914165065695,0.0003740759000404912,0.532,false
7,Farming_forestry_construction,26,0.00011309134926767989,0.00046130201227707754,0.792,false
7,Farming_forestry_construction,27,0.00017452139480837015,0.0004875706286218986,0.724,false
7,Farming_forestry_construction,28,8.627906385930004e-5,0.0004936714042319117,0.856,false
7,Farming_forestry_construction,29,-0.0006177610122403229,0.000542113793868108,0.252,false
7,Farming_forestry_construction,30,9.701896780315185e-5,0.0005588327871150138,0.784,false
7,Farming_forestry_construction,31,-0.0007711093743119485,0.0005291600215177961,0.12,false
7,Farming_forestry_construction,32,-0.00045808716108801693,0.000509149458666121,0.348,false
7,Farming_forestry_construction,33,-0.00016206446376338779,0.0004402220746200062,0.748,false
7,Farming_forestry_construction,34,1.5523551963021833e-6,0.00035521907119937603,1.0,false
7,Farming_forestry_construction,35,-0.00017984970347410315,0.0003427716864967153,0.592,false
7,Farming_forestry_construction,36,0.00010807212457053282,0.00036652869150864475,0.82,false
8,Precision_production_repair,0,0.00034490270845253385,0.00033525062513638384,0.312,false
8,Precision_production_repair,1,0.00011588668235529212,0.00033704031053540266,0.74,false
8,Precision_production_repair,2,0.00011431310602823106,0.0003810240700656443,0.768,false
8,Precision_production_repair,3,-0.0004340436159168083,0.00034457975231397123,0.22,false
8,Precision_production_repair,4,-9.899294458455402e-5,0.00034060997917371056,0.784,false
8,Precision_production_repair,5,-0.00031805213889478536,0.0004025303880955641,0.428,false
8,Precision_production_repair,6,0.00011041350103638071,0.0003178779329048692,0.804,false
8,Precision_production_repair,7,-0.00027522711154329447,0.00038518308730346566,0.476,false
8,Precision_production_repair,8,0.00015902851831754413,0.0003640474795850016,0.728,false
8,Precision_production_repair,9,-0.0003044004693927987,0.0004018689273108286,0.396,false
8,Precision_production_repair,10,3.593838395735013e-5,0.00038171575386094673,0.936,false
8,Precision_production_repair,11,-0.000246404018905085,0.0003253318243879617,0.452,false
8,Precision_production_repair,12,-0.0003128217181158265,0.0003583050182696358,0.472,false
8,Precision_production_repair,13,-0.00014178034042662457,0.00030194605470885354,0.62,false
8,Precision_production_repair,14,0.0005430098110676095,0.0003513988743185506,0.092,false
8,Precision_production_repair,15,0.00026059109601148854,0.0003021190066389599,0.388,false
8,Precision_production_repair,16,-0.0001088298366460857,0.0003593830077305761,0.808,false
8,Precision_production_repair,17,5.0812951866489994e-5,0.00036460820953959107,0.864,false
8,Precision_production_repair,18,0.0003114038593418751,0.0003128912368048014,0.284,false
8,Precision_production_repair,19,-2.231126469241017e-5,0.00040460054812607195,1.0,false
8,Precision_production_repair,20,-1.618589952398336e-5,0.000381128510253713,0.996,false
8,Precision_production_repair,21,0.00011308156596075287,0.00038311629441229415,0.756,false
8,Precision_production_repair,22,0.0005964458390652248,0.0003879088967111066,0.12,false
8,Precision_production_repair,23,6.044985908859628e-5,0.00036770940464164227,0.78,false
8,Precision_production_repair,24,0.0003431593757364264,0.0003573531510954905,0.28,false
8,Precision_production_repair,25,-4.0672867223962916e-5,0.00034890188139331547,1.0,false
8,Precision_production_repair,26,6.980506152063283e-7,0.00044598445533243085,0.888,false
