ind_group,ind_label,horizon,beta,boot_se,p_value,bh_reject
4,Services,13,-6.699271584452299e-5,0.002016089741695455,1.0,false
4,Services,14,-0.0008136022354135289,0.0020184768296975333,0.804,false
4,Services,15,-0.0018426965038181268,0.001952359961106666,0.392,false
4,Services,16,-0.0022334760156218253,0.0020504738846006277,0.276,false
4,Services,17,-0.0016816571782098813,0.0027549559171378625,0.588,false
4,Services,18,-0.0027340309670292108,0.0024560928364460973,0.276,false
4,Services,19,-0.00400901190057318,0.0023377019734156525,0.112,false
4,Services,20,-0.0037854023098311514,0.0025324758518978445,0.176,false
4,Services,21,-0.004285352800024532,0.0024428359639327986,0.12,false
4,Services,22,-0.0038266782526832598,0.002409129306354746,0.156,false
4,Services,23,-0.004948986160309434,0.00228799967413709,0.032,false
4,Services,24,-0.0049970167460574085,0.002596983094626663,0.052,false
4,Services,25,-0.004688400926761009,0.002547635815216338,0.08,false
4,Services,26,-0.003753146269993659,0.002532160752737338,0.152,false
4,Services,27,-0.004862123005344827,0.002332890228909303,0.032,false
4,Services,28,-0.005218788639035426,0.0023595282744714326,0.024,false
4,Services,29,-0.005361418715735168,0.002399907436808294,0.04,false
4,Services,30,-0.004990911437572524,0.002509434379457637,0.044,false
4,Services,31,-0.004492929899216151,0.002523192938839156,0.076,false
4,Services,32,-0.003626345628868206,0.0026640098975537294,0.196,false
4,Services,33,-0.003416953560562618,0.0027686487043847765,0.232,false
4,Services,34,-0.003126341568259708,0.0027774389161519027,0.284,false
4,Services,35,-0.002261009678162565,0.002861869269623106,0.428,false
4,Services,36,-0.0019232703254089415,0.0027993344862009824,0.484,false
