ind_group,ind_label,horizon,beta_abs,theta,boot_se,p_value,bh_reject
5,Manufacturing_durable,28,0.0009586268531357718,NaN,0.001308018566190996,0.368,false
5,Manufacturing_durable,29,-0.001249926902447965,NaN,0.0010810701855507256,0.272,false
5,Manufacturing_durable,30,-0.0005023640428132575,NaN,0.0012457724929387565,0.756,false
5,Manufacturing_durable,31,0.0001606223965357614,NaN,0.0012283022838121744,0.9,false
5,Manufacturing_durable,32,0.000652981326594639,NaN,0.001210684385528815,0.528,false
5,Manufacturing_durable,33,-0.0006444427969142774,NaN,0.0009371126102613919,0.484,false
5,Manufacturing_durable,34,-0.00016212333034923301,NaN,0.0010195017214916988,1.0,false
5,Manufacturing_durable,35,0.0001402184146689485,NaN,0.001040743554485686,0.784,false
5,Manufacturing_durable,36,0.0004390924147325551,NaN,0.0009733739330713014,0.644,false
6,Transportation_utilities,0,0.00035940066060812176,NaN,0.0012046872692231196,0.656,false
6,Transportation_utilities,1,-4.494933894686884e-5,NaN,0.001121366743432897,0.988,false
6,Transportation_utilities,2,0.000815822626457317,NaN,0.0012042128624698452,0.48,false
6,Transportation_utilities,3,0.002615170944817832,NaN,0.001319569362417472,0.052,false
6,Transportation_utilities,4,0.00016303679769063677,NaN,0.0010868120443413589,0.76,false
6,Transportation_utilities,5,0.00024839124797407507,NaN,0.0013740339851130354,0.804,false
6,Transportation_utilities,6,-0.000724172049742678,NaN,0.0013082229054892,0.644,false
6,Transportation_utilities,7,0.00036819504916805237,NaN,0.0013549120058491606,0.784,false
6,Transportation_utilities,8,-0.0024687418694511755,NaN,0.0011415950794189528,0.048,false
6,Transportation_utilities,9,0.0004160606119172317,NaN,0.0013123256060268917,0.74,false
6,Transportation_utilities,10,-5.087920008368043e-5,NaN,0.0013684778951001978,0.996,false
6,Transportation_utilities,11,0.0008573771170826448,NaN,0.001453264058855868,0.588,false
6,Transportation_utilities,12,0.0007484577026832534,NaN,0.0012574767017702044,0.488,false
6,Transportation_utilities,13,0.001741127998408792,NaN,0.001211118331591803,0.124,false
6,Transportation_utilities,14,0.0009454748315976309,NaN,0.0013604428377934955,0.476,false
6,Transportation_utilities,15,0.0006919175518545502,NaN,0.0012919730074557976,0.56,false
6,Transportation_utilities,16,0.0009912143316376824,NaN,0.0014612924002018182,0.564,false
6,Transportation_utilities,17,0.00025116361911968867,NaN,0.0012889001021665512,0.868,false
6,Transportation_utilities,18,-5.733685129402055e-5,NaN,0.001307435706034604,1.0,false
6,Transportation_utilities,19,0.0013082282940517658,NaN,0.0013919648715863629,0.324,false
6,Transportation_utilities,20,0.0010190414628646336,NaN,0.0013767672758809109,0.376,false
6,Transportation_utilities,21,8.612165362111967e-5,NaN,0.0014368456632740739,0.84,false
6,Transportation_utilities,22,0.0016933028233010227,NaN,0.0012726609048718386,0.152,false
6,Transportation_utilities,23,0.0006877479590925427,NaN,0.0013364617740862766,0.564,false
6,Transportation_utilities,24,0.0005215264144498315,NaN,0.0013913721639520662,0.688,false
6,Transportation_utilities,25,0.0019375780313486452,NaN,0.001305984762430989,0.16,false
6,Transportation_utilities,26,-0.0004774003707949794,NaN,0.0013867538476061733,0.76,false
6,Transportation_utilities,27,0.002173511322417091,NaN,0.001422378999914844,0.104,false
6,Transportation_utilities,28,0.0016151269987944709,NaN,0.0014613699972148753,0.268,false
6,Transportation_utilities,29,-0.0002718270485560343,NaN,0.0014600271565661817,0.896,false
6,Transportation_utilities,30,0.00040795716861819316,NaN,0.0013720003830462975,0.684,false
6,Transportation_utilities,31,0.0019519184772055758,NaN,0.0013519489675122395,0.176,false
6,Transportation_utilities,32,0.0011631802560234737,NaN,0.0013482421101544881,0.352,false
