outcome,industry,occupation,horizon,beta,ci_lo90,ci_hi90,sig90
employment,Trade,High tech,12,-0.23531726119162724,-0.618731727709649,-0.014057124057015535,true
employment,Trade,High tech,12,-0.23531726119162724,-0.618731727709649,-0.014057124057015535,true
employment,Trade,High tech,13,-0.17402413398340955,-0.478470764879097,-0.0002605635823133834,true
employment,Trade,High tech,13,-0.17402413398340955,-0.478470764879097,-0.0002605635823133834,true
employment,Trade,High tech,14,-0.10232318557792909,-0.393192812427982,0.07208455082461647,false
employment,Trade,High tech,14,-0.10232318557792909,-0.393192812427982,0.07208455082461647,false
employment,Trade,High tech,15,-0.0991048244891998,-0.3683896044282329,0.14004189170336742,false
employment,Trade,High tech,15,-0.0991048244891998,-0.3683896044282329,0.14004189170336742,false
employment,Trade,High tech,16,-0.04053542609215196,-0.3090961780463227,0.21600756799269852,false
employment,Trade,High tech,16,-0.04053542609215196,-0.3090961780463227,0.21600756799269852,false
employment,Trade,High tech,17,-0.09154486724041025,-0.32799562178309644,0.13862940589654252,false
employment,Trade,High tech,17,-0.09154486724041025,-0.32799562178309644,0.13862940589654252,false
employment,Trade,High tech,18,0.0024196636100023467,-0.21333929556914272,0.24592641296983708,false
employment,Trade,High tech,18,0.0024196636100023467,-0.21333929556914272,0.24592641296983708,false
employment,Trade,High tech,19,0.0300281838044595,-0.24466461869123518,0.29263898776094127,false
employment,Trade,High tech,19,0.0300281838044595,-0.24466461869123518,0.29263898776094127,false
employment,Trade,High tech,20,0.06552493284986406,-0.27005971956005376,0.3626976559960184,false
employment,Trade,High tech,20,0.06552493284986406,-0.27005971956005376,0.3626976559960184,false
employment,Trade,High tech,21,0.09077589132659392,-0.24878884963388326,0.4133609937307596,false
employment,Trade,High tech,21,0.09077589132659392,-0.24878884963388326,0.4133609937307596,false
employment,Trade,High tech,22,0.11362908453620224,-0.26692842346814344,0.4471020280471155,false
employment,Trade,High tech,22,0.11362908453620224,-0.26692842346814344,0.4471020280471155,false
employment,Trade,High tech,23,0.11943489218388935,-0.3176397901733899,0.48237952607320966,false
employment,Trade,High tech,23,0.11943489218388935,-0.3176397901733899,0.48237952607320966,false
employment,Trade,High tech,24,0.08779585469035683,-0.29432514796474774,0.45213613201679687,false
employment,Trade,High tech,24,0.08779585469035683,-0.29432514796474774,0.45213613201679687,false
employment,Trade,High tech,25,0.09955625141148103,-0.22674674458116642,0.4741835821152566,false
employment,Trade,High tech,25,0.09955625141148103,-0.22674674458116642,0.4741835821152566,false
employment,Trade,High tech,26,0.10467219500090531,-0.19836928213143717,0.40843992836549653,false
employment,Trade,High tech,26,0.10467219500090531,-0.19836928213143717,0.40843992836549653,false
employment,Trade,High tech,27,0.016160444003114116,-0.2614862752473604,0.314718436925717,false
employment,Trade,High tech,27,0.016160444003114116,-0.2614862752473604,0.314718436925717,false
employment,Trade,High tech,28,-0.024720025753055704,-0.2921061196000875,0.343756927178483,false
employment,Trade,High tech,28,-0.024720025753055704,-0.2921061196000875,0.343756927178483,false
employment,Trade,High tech,29,-0.03605683342142061,-0.33034017012284983,0.32978582435489523,false
employment,Trade,High tech,29,-0.03605683342142061,-0.33034017012284983,0.32978582435489523,false
employment,Trade,High tech,30,-0.09779910346395321,-0.3890333051547229,0.24816450759737946,false
employment,Trade,High tech,30,-0.09779910346395321,-0.3890333051547229,0.24816450759737946,false
employment,Trade,High tech,31,-0.012333072329027892,-0.32678104651817497,0.35315399305569156,false
employment,Trade,High tech,31,-0.012333072329027892,-0.32678104651817497,0.35315399305569156,false
employment,Trade,High tech,32,0.000627024858281587,-0.35788837556342473,0.3169984183760424,false
employment,Trade,High tech,32,0.000627024858281587,-0.35788837556342473,0.3169984183760424,false
employment,Trade,High tech,33,0.14876548430832712,-0.2823964764040011,0.4485792875786301,false
employment,Trade,High tech,33,0.14876548430832712,-0.2823964764040011,0.4485792875786301,false
employment,Trade,High tech,34,0.12379626163406766,-0.361955592664482,0.4417164887662149,false
employment,Trade,High tech,34,0.12379626163406766,-0.361955592664482,0.4417164887662149,false
employment,Trade,High tech,35,0.005788789126069156,-0.400316576852522,0.31532842738052597,false
employment,Trade,High tech,35,0.005788789126069156,-0.400316576852522,0.31532842738052597,false
employment,Trade,High tech,36,0.004573993190180774,-0.39818109829259973,0.25586763514997457,false
employment,Trade,High tech,36,0.004573993190180774,-0.39818109829259973,0.25586763514997457,false
hourly_rate,Trade,High tech,0,0.04055788633047877,-0.29533940238464995,0.18377224377812268,false
hourly_rate,Trade,High tech,0,0.04055788633047877,-0.29533940238464995,0.18377224377812268,false
hourly_rate,Trade,High tech,1,0.03220370347330201,0.01911751201187276,0.0492452332357409,true
hourly_rate,Trade,High tech,1,0.03220370347330201,0.01911751201187276,0.0492452332357409,true
hourly_rate,Trade,High tech,2,2.418189216898748,2.362722256162536,2.4560741727993314,true
hourly_rate,Trade,High tech,2,2.418189216898748,2.362722256162536,2.4560741727993314,true
hourly_rate,Trade,High tech,3,-0.10397939935045238,-0.11067952420650785,-0.09711171802386426,true
hourly_rate,Trade,High tech,3,-0.10397939935045238,-0.11067952420650785,-0.09711171802386426,true
hourly_rate,Trade,High tech,4,-0.017440995711753414,-0.7739701043080195,0.5752039867140571,false
hourly_rate,Trade,High tech,4,-0.017440995711753414,-0.7739701043080195,0.5752039867140571,false
hourly_rate,Trade,High tech,5,0.0524471257673463,0.04748722475492248,0.05644213071260723,true
hourly_rate,Trade,High tech,5,0.0524471257673463,0.04748722475492248,0.05644213071260723,true
hourly_rate,Trade,High tech,6,0.11700226301330957,-2.165239427864501,4.119678659585005,false
hourly_rate,Trade,High tech,6,0.11700226301330957,-2.165239427864501,4.119678659585005,false
hourly_rate,Trade,High tech,7,0.5074584260038455,0.48755370488459515,0.5407650797483654,true
hourly_rate,Trade,High tech,7,0.5074584260038455,0.48755370488459515,0.5407650797483654,true
hourly_rate,Trade,High tech,8,-0.19612094148580436,-0.33720658919783697,-0.05487811938151027,true
hourly_rate,Trade,High tech,8,-0.19612094148580436,-0.33720658919783697,-0.05487811938151027,true
hourly_rate,Trade,High tech,9,0.14962177726545858,0.14262240984013275,0.1593719941419645,true
hourly_rate,Trade,High tech,9,0.14962177726545858,0.14262240984013275,0.1593719941419645,true
hourly_rate,Trade,High tech,10,-0.19046495166866426,-0.19815209893438357,-0.18551223720370236,true
hourly_rate,Trade,High tech,10,-0.19046495166866426,-0.19815209893438357,-0.18551223720370236,true
hourly_rate,Trade,High tech,11,-0.11212903836670153,-0.12775052339465745,-0.09540046283096944,true
hourly_rate,Trade,High tech,11,-0.11212903836670153,-0.12775052339465745,-0.09540046283096944,true
hourly_rate,Trade,High tech,12,-0.026991216828700357,-0.4714318611892524,0.4301363427862326,false
hourly_rate,Trade,High tech,12,-0.026991216828700357,-0.4714318611892524,0.4301363427862326,false
hourly_rate,Trade,High tech,13,-0.05325294788608517,-1.7156102655836212,1.2839075903714812,false
