occ_group,occ_label,horizon,theta,boot_se,p_value,bh_reject
4,Sales,11,-0.0052374593407279214,0.007197698802428997,0.484,false
4,Sales,12,-0.013330281800502058,0.006918723603812018,0.048,false
4,Sales,13,-0.012414931296987905,0.00642957555958709,0.044,false
4,Sales,14,-0.0023768010711471645,0.007411285377515438,0.744,false
4,Sales,15,-0.0029400554530914906,0.007593786054679121,0.692,false
4,Sales,16,0.003146779568602855,0.007446642362644188,0.7,false
4,Sales,17,-0.0036842114901058463,0.007781921075139162,0.668,false
4,Sales,18,0.0039859697976998894,0.007866252780830538,0.608,false
4,Sales,19,0.004113731303939036,0.007462817993988872,0.616,false
4,Sales,20,0.0059608798610060205,0.008258453730471453,0.512,false
4,Sales,21,-0.0071698554327503244,0.009440780899922055,0.44,false
4,Sales,22,-0.007435172054384943,0.007656016818704915,0.332,false
4,Sales,23,-0.009885339180268151,0.008105360702253955,0.272,false
4,Sales,24,0.00020249416194310783,0.00889933316729809,0.924,false
4,Sales,25,-0.0033504668053131346,0.008505132887826861,0.704,false
4,Sales,26,-0.006487747885662569,0.00904244753019599,0.468,false
4,Sales,27,-0.005423231821511786,0.007183489514455516,0.412,false
4,Sales,28,-0.005448336062331363,0.008147190727796133,0.472,false
4,Sales,29,-0.008126613219859392,0.008263723561862764,0.328,false
4,Sales,30,-0.009426629901600382,0.008269171246803281,0.26,false
4,Sales,31,-0.003567471180975606,0.008922113673489098,0.708,false
4,Sales,32,-0.009888835510190855,0.00947203004905328,0.26,false
4,Sales,33,-0.011806932039667309,0.00861436997553801,0.192,false
4,Sales,34,-0.01170117580186271,0.008203971021742638,0.148,false
4,Sales,35,-0.002498765614184808,0.00860035744335412,0.812,false
4,Sales,36,0.0003001819175073102,0.008107552689108437,0.92,false
5,Administrative_support,0,-0.002996242287102212,0.003605892027005252,0.468,false
5,Administrative_support,1,-0.0034172011813203926,0.004426326939328666,0.468,false
5,Administrative_support,2,-0.0016625550912900732,0.00424633523158878,0.752,false
5,Administrative_support,3,-0.0016934768563215711,0.003765839104811857,0.624,false
5,Administrative_support,4,-0.0007942433138376681,0.003914813217633564,0.88,false
5,Administrative_support,5,-0.0058018798112488956,0.004023568612308268,0.152,false
5,Administrative_support,6,0.0006223316957297444,0.003911977296538289,0.824,false
5,Administrative_support,7,-0.0012838634813235013,0.004333854027753586,0.792,false
5,Administrative_support,8,-0.00183678128916776,0.0038322424100519464,0.616,false
5,Administrative_support,9,-0.0055361220712484656,0.0043153190157433395,0.208,false
5,Administrative_support,10,-0.003382877631527887,0.0037925531027272787,0.448,false
5,Administrative_support,11,-0.006234552750430098,0.0035756647826644906,0.084,false
5,Administrative_support,12,-0.0073733000113726365,0.004901124140579551,0.16,false
5,Administrative_support,13,-0.005844543504045013,0.004775505080345909,0.236,false
5,Administrative_support,14,-0.001388426803348454,0.0042173926459204165,0.748,false
5,Administrative_support,15,-0.0026069338311060825,0.003803146045775418,0.472,false
5,Administrative_support,16,0.0021079224202063675,0.004127752089775233,0.652,false
5,Administrative_support,17,-0.00015477699804348086,0.0040952169110478,0.996,false
5,Administrative_support,18,0.002934706352379146,0.004167238153710898,0.456,false
5,Administrative_support,19,0.00038544503547877865,0.0035642396587377196,0.928,false
5,Administrative_support,20,0.002888081753247072,0.004384932853615965,0.508,false
5,Administrative_support,21,-0.002159317930314737,0.004881986879027029,0.648,false
5,Administrative_support,22,0.0031034990608547835,0.004222568230695341,0.416,false
5,Administrative_support,23,-0.0019558712654677867,0.004259219742101416,0.58,false
5,Administrative_support,24,0.0004138199613977725,0.004156649486137309,0.924,false
5,Administrative_support,25,-0.008370025158895561,0.0037002289970168895,0.028,false
5,Administrative_support,26,-0.0024395920068757534,0.0037978045136057037,0.508,false
5,Administrative_support,27,-0.003733786749354841,0.004878209206467465,0.448,false
5,Administrative_support,28,0.0008151274248271328,0.0038157287789586684,0.792,false
5,Administrative_support,29,-0.0020617510170609435,0.004249886046559545,0.62,false
5,Administrative_support,30,-0.004053870868699397,0.004093044562801766,0.308,false
5,Administrative_support,31,-0.0002443296054448136,0.004375557014864696,0.928,false
5,Administrative_support,32,-0.001311860473267307,0.004432005248450047,0.792,false
5,Administrative_support,33,-0.0037936280179330243,0.004585882450865207,0.416,false
5,Administrative_support,34,0.003942920645292889,0.003727233118028935,0.288,false
5,Administrative_support,35,-0.0009226545651590797,0.004459297670588247,0.896,false
5,Administrative_support,36,-0.003999659235520636,0.004263683620607087,0.396,false
6,Service,0,-0.0022247620297540815,0.003931084162435543,0.584,false
6,Service,1,-0.003055901354319866,0.005163597183250834,0.544,false
6,Service,2,0.0036332866786249855,0.004983162148444502,0.388,false
6,Service,3,0.0022787290916615847,0.0048217251205904255,0.656,false
6,Service,4,0.004521464169424407,0.0051639366448156645,0.4,false
6,Service,5,0.00043889984162910715,0.005233294461348536,0.972,false
6,Service,6,0.0037403366558151755,0.004467603010862531,0.388,false
6,Service,7,0.004870280496770004,0.004477020994296832,0.252,false
6,Service,8,0.0007585187930003971,0.00553798304871924,0.904,false
6,Service,9,-0.00037869767103925617,0.005162461928228777,0.888,false
6,Service,10,0.00046267761112283993,0.005118006169865945,0.868,false
6,Service,11,0.00010132804615000567,0.004647868878729698,1.0,false
6,Service,12,-0.006269146234078959,0.004934032384472118,0.208,false
6,Service,13,-0.0029524496586279254,0.0045301618332873606,0.536,false
6,Service,14,0.0032562653579292656,0.0058378448942295194,0.512,false
6,Service,15,-0.0009407349054950912,0.004945512605010398,0.768,false
6,Service,16,0.001399801109090758,0.006093146229404149,0.872,false
